segment,customers,avg_recency,avg_frequency,total_spend,campaign_6_response_rate,customer_share_pct,spend_share_pct
At Risk,359,78.62952646239555,20.194986072423397,427631,0.1532033426183844,16.026785714285715,31.513248459087333
Champions,304,18.700657894736842,20.73355263157895,375942,0.3190789473684211,13.571428571428571,27.704150663086185
Needs Attention,448,49.27455357142857,12.459821428571429,267905,0.12053571428571429,20.0,19.742621158035295
Loyal,224,18.915178571428573,13.40625,127085,0.20982142857142858,10.0,9.365226516373026
Hibernating,484,79.76652892561984,6.991735537190083,70316,0.03512396694214876,21.607142857142858,5.181770214622385
Can't Lose Them,53,77.77358490566037,13.037735849056604,62884,0.11320754716981132,2.3660714285714284,4.634086668415637
New / Promising,368,19.160326086956523,5.081521739130435,25225,0.15760869565217392,16.428571428571427,1.858896320380136
